League,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result
Bundesliga 2,30/07/98,Hannover,Karlsruhe,0.0,0.0,H
Bundesliga 2,31/07/98,Cottbus,Stuttgarter K,2.0,0.0,H
Bundesliga 2,31/07/98,F Koln,Dusseldorf,2.0,1.0,H
Bundesliga 2,31/07/98,St Pauli,TB Berlin,2.0,0.0,H
Bundesliga 2,02/08/98,Gutersloh,FC Koln,3.0,1.0,H
Bundesliga 2,02/08/98,Mainz,Greuther Furth,2.0,0.0,H
Bundesliga 2,02/08/98,Oberhausen,Uerdingen,2.0,0.0,D
Bundesliga 2,02/08/98,Ulm,Wattenscheid,0.0,0.0,H
Bundesliga 2,02/08/98,Unterhaching,Bielefeld,1.0,2.0,A
Bundesliga 2,07/08/98,FC Koln,Unterhaching,0.0,1.0,H
Bundesliga 2,07/08/98,Stuttgarter K,Oberhausen,2.0,0.0,H
Bundesliga 2,07/08/98,Uerdingen,F Koln,1.0,2.0,D
Bundesliga 2,09/08/98,Dusseldorf,Gutersloh,1.0,1.0,H
Bundesliga 2,09/08/98,Greuther Furth,St Pauli,3.0,0.0,H
Bundesliga 2,09/08/98,Karlsruhe,Ulm,3.0,2.0,A
Bundesliga 2,09/08/98,TB Berlin,Cottbus,1.0,0.0,H
Bundesliga 2,09/08/98,Wattenscheid,Mainz,2.0,1.0,D
Bundesliga 2,10/08/98,Bielefeld,Hannover,5.0,1.0,H
Bundesliga 2,11/08/98,F Koln,Stuttgarter K,1.0,1.0,H
Bundesliga 2,12/08/98,Oberhausen,TB Berlin,1.0,2.0,D
Bundesliga 2,13/08/98,Cottbus,Greuther Furth,1.0,1.0,D
Bundesliga 2,13/08/98,Dusseldorf,Uerdingen,0.0,2.0,D
Bundesliga 2,13/08/98,Gutersloh,Unterhaching,1.0,1.0,D
Bundesliga 2,13/08/98,Mainz,Karlsruhe,2.0,0.0,H
Bundesliga 2,13/08/98,St Pauli,Wattenscheid,1.0,0.0,H
Bundesliga 2,13/08/98,Ulm,Bielefeld,1.0,1.2,H
Bundesliga 2,15/08/98,TB Berlin,F Koln,2.0,2.0,H
Bundesliga 2,16/08/98,Bielefeld,Mainz,0.0,0.0,H
